,title,media,date,datetime,desc,link,img
0,Uber’s Self-Driving Cars Were Struggling Before Arizona Crash,The New York Times,"Mar 23, 2018",2018-03-23 00:00:00.000000,"And Uber's human drivers had to intervene far more frequently than the drivers of competing autonomous car projects. Waymo, formerly the self-driving car ...",https://www.nytimes.com/2018/03/23/technology/uber-self-driving-cars-arizona.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,"Uber, Arizona, and the Limits of Self-Driving Cars",The Atlantic,"th · Mar 20, 2018",2018-03-20 00:00:00.000000,"Autonomous vehicles generally use deep neural network algorithms to “recognize” images. The car's LIDAR recognizes an obstacle, the camera takes a picture of it ...",https://www.theatlantic.com/technology/archive/2018/03/uber-self-driving-fatality-arizona/556001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Americans had concerns about self-driving cars before fatal ...,Pew Research Center,"Mar 21, 2018",2018-03-21 00:00:00.000000,"Even before a driverless Uber vehicle struck and killed a pedestrian in Arizona this week, a slight majority of Americans said they were at least somewhat ...",https://www.pewresearch.org/fact-tank/2018/03/21/americans-had-concerns-about-self-driving-cars-before-fatal-arizona-accident/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,How Driverless Cars See the World Around Them,The New York Times,"Mar 19, 2018",2018-03-19 00:00:00.000000,"Waymo, the self-driving car company owned by Google's parent company, Alphabet, has said it is also operating autonomous cars on the outskirts of Phoenix ...",https://www.nytimes.com/2018/03/19/technology/how-driverless-cars-work.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Here’s how Uber’s self-driving cars are supposed to detect pedestrians,TechCrunch,"th · Mar 19, 2018",2018-03-19 00:00:00.000000,A self-driving vehicle made by Uber has struck and killed a pedestrian. ... is pretty much the first emergency event that autonomous car engineers look at.,https://techcrunch.com/2018/03/19/heres-how-ubers-self-driving-cars-are-supposed-to-detect-pedestrians/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Self-driving Uber kills Arizona woman in first fatal crash involving pedestrian,The Guardian,"Mar 19, 2018",2018-03-19 00:00:00.000000,"Tempe police said the self-driving car was in autonomous mode at the time of the crash and that the vehicle hit a woman, who was walking outside of the ...",https://www.theguardian.com/technology/2018/mar/19/uber-self-driving-car-kills-woman-arizona-tempe,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Uber's First Self-Driving Fleet Arrives in Pittsburgh This Month,Bloomberg.com,"Aug 18, 2016",2016-08-18 00:00:00.000000,"The autonomous cars, launching this summer, are custom Volvo XC90s, ... self-driving car project, spent seven years researching autonomous robots at CMU, ...",https://www.bloomberg.com/news/features/2016-08-18/uber-s-first-self-driving-fleet-arrives-in-pittsburgh-this-month-is06r7on,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,Arizona Suspends Uber’s Autonomous Cars After a Death. What’s Next for Driverless Cars?,Greentech Media,"Mar 27, 2018",2018-03-27 00:00:00.000000,What's Next for Driverless Cars? Experts disagree over the cause—and consequences—of Uber's fatal accident last week. Lacey Johnson March 27 ...,https://www.greentechmedia.com/articles/read/uber-autonomous-cars-death,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,Uber’s self-driving cars start picking up passengers in San Francisco,TechCrunch,"Dec 14, 2016",2016-12-14 00:00:00.000000,"Uber's self-driving cars are making the move to San Francisco, in a new expansion of its pilot project with autonomous vehicles that will see Volvo SUVs ...",https://techcrunch.com/2016/12/14/ubers-self-driving-cars-start-picking-up-passengers-in-san-francisco/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,It’s Elon Musk vs. everyone else in the race for fully driverless cars,The Verge,"Apr 24, 2019",2019-04-24 00:00:00.000000,"High-precision GPS maps for self-driving cars are a “really bad idea,” according to ... Also, Tesla will have its Level 5 autonomous vehicles that can drive ...",https://www.theverge.com/2019/4/24/18512580/elon-musk-tesla-driverless-cars-lidar-simulation-waymo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
